feature,family,lag,volume_normalized,target,horizon,target_kind,correlation,abs_correlation,n_samples
ES_minus_SPY_pct_360_per_ESvol,ES_minus_SPY,360,True,ES_fwd_up_12,12,binary,0.0003295146809566377,0.0003295146809566377,1014572
ES_minus_SPX_pct_180_per_ESvol,ES_minus_SPX,180,True,ES_fwd_ret_12,12,signed,-0.000328756650893997,0.000328756650893997,1144828
SPY_minus_SPX_pct_5,SPY_minus_SPX,5,False,ES_fwd_up_360,360,binary,-0.0003275821317393978,0.0003275821317393978,1087081
ES_minus_SPY_pct_20,ES_minus_SPY,20,False,ES_fwd_ret_240,240,signed,-0.00032710116483157645,0.00032710116483157645,1147164
ES_minus_SPY_pct_12_per_ESvol,ES_minus_SPY,12,True,ES_fwd_up_240,240,binary,0.0003267393368156658,0.0003267393368156658,1110536
SPY_minus_SPX_pct_3,SPY_minus_SPX,3,False,ES_fwd_up_180,180,binary,-0.00032559590345723315,0.00032559590345723315,1127248
ES_pct_3_per_ESvol,ES,3,True,ES_fwd_up_120,120,binary,-0.0003251892123901884,0.0003251892123901884,1135418
SPX_pct_2_per_ESvol,SPX,2,True,ES_fwd_ret_180,180,signed,-0.0003226364478907453,0.0003226364478907453,1147421
SPY_minus_SPX_pct_5,SPY_minus_SPX,5,False,ES_fwd_up_60,60,binary,-0.0003214845044568453,0.0003214845044568453,1142007
SPY_pct_2_per_ESvol,SPY,2,True,ES_fwd_ret_12,12,signed,-0.0003205339059719951,0.0003205339059719951,1190930
ES_pct_180_per_ESvol,ES,180,True,ES_fwd_up_180,180,binary,-0.00032000393088328286,0.00032000393088328286,1079711
ES_minus_SPX_pct_12,ES_minus_SPX,12,False,ES_fwd_ret_360,360,signed,-0.0003189710529910247,0.0003189710529910247,1117708
ES_minus_SPY_pct_45,ES_minus_SPY,45,False,ES_fwd_ret_12,12,signed,-0.00031749523454554303,0.00031749523454554303,1200553
SPX_pct_1_per_ESvol,SPX,1,True,ES_fwd_ret_12,12,signed,0.0003173080451931721,0.0003173080451931721,1191189
SPY_minus_SPX_pct_30_per_ESvol,SPY_minus_SPX,30,True,ES_fwd_up_360,360,binary,0.00031406136097162534,0.00031406136097162534,1078498
ES_minus_SPY_pct_240,ES_minus_SPY,240,False,ES_fwd_ret_12,12,signed,-0.00031308006934611845,0.00031308006934611845,1149268
SPY_pct_5_per_ESvol,SPY,5,True,ES_fwd_ret_12,12,signed,0.0003123794327600928,0.0003123794327600928,1190153
ES_minus_SPY_pct_20,ES_minus_SPY,20,False,ES_fwd_ret_12,12,signed,0.00031191558578167573,0.00031191558578167573,1207128
ES_minus_SPY_pct_1,ES_minus_SPY,1,False,ES_fwd_up_60,60,binary,-0.0003114646403962135,0.0003114646403962135,1143031
ES_minus_SPY_pct_1_per_ESvol,ES_minus_SPY,1,True,ES_fwd_ret_360,360,signed,0.00030992733980885086,0.00030992733980885086,1101102
SPY_minus_SPX_pct_3,SPY_minus_SPX,3,False,ES_fwd_ret_60,60,signed,-0.0003067556998476967,0.0003067556998476967,1198975
SPY_minus_SPX_pct_20,SPY_minus_SPX,20,False,ES_fwd_ret_360,360,signed,-0.00030430884433714197,0.00030430884433714197,1115604
ES_pct_300,ES,300,False,ES_fwd_up_60,60,binary,-0.00030342793701579785,0.00030342793701579785,1066925
ES_minus_SPY_pct_45,ES_minus_SPY,45,False,ES_fwd_up_180,180,binary,0.0003020050580190787,0.0003020050580190787,1116496
SPX_pct_240_per_ESvol,SPX,240,True,ES_fwd_up_240,240,binary,-0.00030075133835581644,0.00030075133835581644,1051983
ES_minus_SPX_pct_5,ES_minus_SPX,5,False,ES_fwd_ret_60,60,signed,-0.0002993204743140675,0.0002993204743140675,1198449
ES_minus_SPY_pct_2_per_ESvol,ES_minus_SPY,2,True,ES_fwd_ret_120,120,signed,0.0002968711115193795,0.0002968711115193795,1162958
ES_minus_SPY_pct_30_per_ESvol,ES_minus_SPY,30,True,ES_fwd_up_180,180,binary,0.0002956715824748201,0.0002956715824748201,1118140
ES_minus_SPY_pct_60,ES_minus_SPY,60,False,ES_fwd_ret_240,240,signed,-0.0002937178854012253,0.0002937178854012253,1136644
ES_minus_SPY_pct_1,ES_minus_SPY,1,False,ES_fwd_up_240,240,binary,0.0002928534485896488,0.0002928534485896488,1115560
ES_minus_SPY_pct_12,ES_minus_SPY,12,False,ES_fwd_up_240,240,binary,-0.0002921691612326463,0.0002921691612326463,1112731
ES_minus_SPX_pct_3_per_ESvol,ES_minus_SPX,3,True,ES_fwd_ret_12,12,signed,-0.0002921091253259353,0.0002921091253259353,1190671
ES_minus_SPY_pct_3_per_ESvol,ES_minus_SPY,3,True,ES_fwd_up_60,60,binary,-0.000288988359719682,0.000288988359719682,1140381
ES_minus_SPY_pct_1_per_ESvol,ES_minus_SPY,1,True,ES_fwd_ret_120,120,signed,-0.0002879753598209343,0.0002879753598209343,1163217
SPY_minus_SPX_pct_3_per_ESvol,SPY_minus_SPX,3,True,ES_fwd_ret_12,12,signed,-0.00028711979007174865,0.00028711979007174865,1190671
SPX_pct_3_per_ESvol,SPX,3,True,ES_fwd_up_120,120,binary,-0.00028655724840835487,0.00028655724840835487,1135418
